date,sales
11-26-2020,1
"Jun 13, 2021",1
05-27-2020,3
12-23-2020,3
01-26-2020,2
03-29-2021,2
09-30-2021,3
"Apr 22, 2020",4
"Dec 30, 2021",2
08-09-2021,2
05-28-2021,4
06-24-2021,1
"Apr 14, 2021",2
01-27-2021,2
"Nov 22, 2021",1
"Apr 09, 2021",1
"Nov 11, 2021",1
01-29-2021,2
10-02-2021,1
03-04-2020,2
06-18-2020,1
"Jan 03, 2020",4
10-24-2020,2
"Jan 01, 2022",1
08-05-2021,3
"Oct 22, 2021",3
03-08-2021,2
08-13-2021,2
11-07-2020,1
04-07-2021,3
04-30-2021,3
12-03-2020,5
"May 17, 2020",5
"Nov 23, 2020",6
09-24-2020,2
06-21-2020,2
"Aug 29, 2021",2
05-27-2021,4
"Aug 21, 2020",1
01-17-2021,1
"Jun 20, 2020",2
06-08-2021,5
10-28-2021,1
05-19-2021,4
11-19-2021,2
10-29-2020,2
08-05-2021,2
"Dec 08, 2020",2
"Aug 01, 2020",2
"Dec 24, 2021",1
01-09-2021,5
"Dec 14, 2020",3
07-03-2021,1
07-04-2020,4
"Jun 20, 2021",2
"Apr 23, 2020",5
03-21-2020,3
12-04-2020,5
06-05-2020,3
"Jul 16, 2020",2
07-21-2020,4
07-14-2021,2
07-07-2020,2
"Mar 07, 2021",1
04-20-2021,2
"May 27, 2021",3
"Dec 20, 2021",5
05-14-2020,2
03-12-2020,5
06-03-2020,7
01-25-2020,3
"Dec 25, 2020",2
"Oct 15, 2020",5
06-04-2021,3
"Dec 25, 2020",4
01-03-2020,5
"Aug 08, 2020",2
11-09-2020,2
"Aug 27, 2020",2
"Oct 25, 2020",4
"Jan 16, 2020",2
09-08-2021,4
05-07-2021,3
"Jun 25, 2020",1
"May 16, 2020",2
"Mar 15, 2020",2
"Oct 05, 2020",3
08-19-2020,3
06-30-2020,3
"Oct 25, 2020",4
"Mar 10, 2021",2
"Nov 22, 2021",1
"Feb 06, 2021",1
"Nov 10, 2020",5
04-17-2021,4
"Jun 10, 2020",4
"Feb 27, 2020",3
09-14-2020,1
"Sep 29, 2020",2
02-26-2020,1
03-24-2020,3
11-22-2020,1
"Jan 23, 2021",2
09-10-2021,2
"Nov 28, 2021",2
09-19-2020,3
07-05-2020,1
05-15-2020,3
"Dec 06, 2021",4
"Jun 04, 2021",1
"Feb 05, 2021",3
11-25-2020,3
06-26-2020,9
"Oct 01, 2021",5
