date,sales
"Jul 26, 2021",1
"Jul 25, 2021",3
"Oct 26, 2020",3
"Feb 10, 2021",1
"Sep 11, 2020",5
"Jul 14, 2020",3
"Dec 14, 2021",4
"May 11, 2021",2
"May 31, 2020",4
"Sep 01, 2021",4
"Oct 15, 2021",3
"Jan 20, 2021",3
"Jun 12, 2021",2
"Mar 25, 2020",2
"Feb 11, 2020",4
"Nov 15, 2021",2
"Aug 13, 2021",2
"Nov 01, 2021",3
"Feb 13, 2021",2
"Apr 08, 2020",1
"Jun 08, 2021",1
"May 28, 2020",2
"Jun 18, 2021",7
"Mar 02, 2020",3
"Dec 03, 2020",5
"Jan 08, 2021",4
"Feb 07, 2020",3
"Jul 27, 2020",2
"Oct 17, 2020",3
"Jun 01, 2021",1
"Feb 20, 2021",2
"May 13, 2021",3
"Aug 22, 2021",2
"Nov 22, 2020",1
"Oct 07, 2021",2
"Jan 19, 2020",2
"Jul 22, 2020",6
"May 04, 2021",6
"Jul 30, 2020",4
"Nov 10, 2020",2
"Jul 08, 2021",3
"Apr 22, 2020",6
"Feb 21, 2020",4
"Sep 12, 2020",3
"Nov 30, 2021",3
"Jun 25, 2020",1
"Jun 27, 2021",3
"Feb 14, 2021",2
"Oct 05, 2020",3
"Oct 20, 2021",2
"May 09, 2021",4
"Oct 18, 2021",5
"Jul 03, 2020",1
"Jan 06, 2021",5
"Jan 21, 2021",4
"Jan 18, 2021",2
"Mar 15, 2020",1
"Nov 05, 2020",1
"May 28, 2020",2
"Dec 26, 2020",3
"Oct 01, 2020",1
"Nov 25, 2021",3
"Mar 02, 2020",1
"Jan 18, 2021",2
"Jan 07, 2021",3
"Dec 16, 2020",4
"Oct 19, 2021",6
"Sep 12, 2021",2
"Jun 28, 2021",3
"Aug 15, 2020",4
"May 16, 2021",3
"May 19, 2021",4
"Nov 04, 2021",2
"Sep 26, 2020",6
"Dec 21, 2021",1
"Dec 02, 2020",5
"Mar 24, 2020",3
"Oct 24, 2020",2
"Jan 05, 2020",2
"Oct 10, 2020",5
"Oct 23, 2020",4
"May 22, 2021",3
"Nov 25, 2021",1
"Jul 06, 2021",4
"Apr 23, 2020",2
"Aug 11, 2021",1
"Mar 29, 2020",2
"Aug 18, 2020",2
"Nov 03, 2020",2
"Aug 09, 2021",2
"Apr 30, 2021",3
"Nov 01, 2020",2
"Nov 10, 2020",3
"Apr 22, 2020",2
"Sep 12, 2021",2
"Dec 18, 2020",5
"May 25, 2021",2
"Mar 10, 2021",5
"Oct 17, 2020",3
"Oct 22, 2020",2
"Apr 18, 2020",1
"May 09, 2020",2
"Oct 05, 2021",5
"Apr 18, 2021",2
"Dec 21, 2021",5
"Jun 07, 2020",6
"Jun 29, 2021",5
"Jan 11, 2020",1
"Aug 20, 2020",3
"Aug 09, 2021",2
"Oct 20, 2020",2
"May 05, 2021",4
"Dec 26, 2020",2
"Feb 06, 2021",3
"Oct 28, 2021",4
"Jul 11, 2020",3
"Aug 15, 2021",2
"May 31, 2020",1
"Jul 04, 2020",1
"Apr 11, 2021",4
"Aug 24, 2020",6
"Dec 18, 2021",2
"Jul 03, 2020",4
"Oct 30, 2020",5
"Dec 14, 2020",4
"Dec 07, 2021",7
"Apr 15, 2021",3
"May 20, 2020",2
"Jul 23, 2020",2
"Mar 13, 2020",3
"May 28, 2021",2
"Mar 11, 2020",4
"Apr 12, 2020",1
"Jan 29, 2021",2
"Feb 07, 2021",5
"Sep 28, 2020",2
"Feb 02, 2021",5
"Oct 06, 2020",5
"Jan 12, 2020",4
"Apr 17, 2021",3
"Jan 12, 2020",1
"Jul 25, 2020",1
"Sep 26, 2021",2
"Jun 12, 2021",2
"Aug 29, 2020",4
"Feb 28, 2020",2
"Dec 22, 2021",5
"Jan 10, 2020",1
"Jul 23, 2021",3
"Dec 20, 2020",1
"Jul 06, 2020",3
"Feb 16, 2020",5
"Oct 22, 2021",2
"Sep 11, 2020",5
"Jan 07, 2020",2
"Aug 30, 2020",3
"Sep 09, 2020",5
"Feb 17, 2020",2
"Nov 23, 2021",3
"Oct 20, 2020",5
"Oct 28, 2020",4
"Sep 06, 2021",4
"Jul 24, 2020",2
"Nov 12, 2020",2
"Dec 02, 2021",6
"Oct 06, 2020",2
"Feb 25, 2021",3
"Aug 27, 2021",1
"Feb 10, 2021",1
"Aug 22, 2021",6
"Jul 20, 2021",6
"Sep 09, 2020",8
"Oct 03, 2020",2
"Jul 20, 2021",2
"Feb 14, 2021",2
"Sep 18, 2021",5
"Dec 29, 2020",2
"Jun 13, 2020",3
"Aug 15, 2021",4
"Oct 25, 2021",2
"Nov 03, 2020",2
"Jul 02, 2020",3
"Mar 19, 2021",2
"Sep 10, 2020",4
"Mar 17, 2021",4
"Oct 13, 2021",2
"Dec 11, 2021",3
"Feb 27, 2021",3
"Oct 25, 2021",2
"Jun 06, 2021",2
"Jul 09, 2020",2
"Feb 18, 2021",2
"Jul 18, 2020",3
"Jul 02, 2020",3
"Jun 18, 2020",2
"Apr 18, 2020",3
"Mar 10, 2021",1
"Jun 22, 2020",3
"Aug 14, 2021",2
"Jan 19, 2021",2
"Nov 22, 2020",5
"Feb 02, 2021",3
"Apr 21, 2020",5
"Dec 31, 2021",4
"Feb 27, 2020",3
"Mar 30, 2021",1
"Feb 01, 2020",3
"Sep 24, 2021",2
"Sep 12, 2021",1
"Feb 09, 2020",3
"May 02, 2020",2
"Jul 22, 2021",4
"Jul 03, 2020",7
"Jan 23, 2020",2
"Jan 23, 2020",2
"Nov 03, 2021",4
"Sep 04, 2020",3
"Feb 19, 2021",4
"Feb 03, 2021",2
"May 24, 2020",2
"Mar 03, 2021",3
"Mar 08, 2020",4
"Nov 22, 2021",2
"Mar 01, 2020",1
"Apr 13, 2021",3
"Oct 30, 2021",4
"Sep 24, 2020",2
"Feb 29, 2020",3
"Sep 09, 2021",3
"May 17, 2021",2
